ID,Title,Year,Rating ,Rating_count
tt0111161,The Shawshank Redemption,1994,9.2,"20,89,382"
tt0068646,The Godfather,1972,9.2,"14,33,884"
tt0071562,The Godfather: Part II,1974,9,"9,95,997"
tt0468569,The Dark Knight,2008,9,"20,55,819"
tt0050083,12 Angry Men,1957,8.9,"5,91,688"
tt0108052,Schindler's List,1993,8.9,"10,82,960"
tt0167260,The Lord of the Rings: The Return of the King,2003,8.9,"14,87,166"
tt0110912,Pulp Fiction,1994,8.9,"16,33,178"
tt0060196,"The Good, the Bad and the Ugly",1966,8.8,"6,20,260"
tt0137523,Fight Club,1999,8.8,"16,70,480"
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,"15,03,217"
tt0109830,Forrest Gump,1994,8.7,"16,02,217"
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,"10,47,783"
tt1375666,Inception,2010,8.7,"18,30,622"
tt0167261,The Lord of the Rings: The Two Towers,2002,8.7,"13,44,714"
tt4154796,Avengers: Endgame,2019,8.7,"3,94,632"
tt0073486,One Flew Over the Cuckoo's Nest,1975,8.7,"8,27,820"
tt0099685,Goodfellas,1990,8.7,"9,01,753"
tt0133093,The Matrix,1999,8.6,"15,00,481"
tt0047478,Seven Samurai,1954,8.6,"2,82,429"
tt0114369,Se7en,1995,8.6,"12,81,150"
tt0317248,City of God,2002,8.6,"6,41,894"
tt0076759,Star Wars: Episode IV - A New Hope,1977,8.6,"11,17,100"
tt0102926,The Silence of the Lambs,1991,8.6,"11,27,802"
tt0038650,It's a Wonderful Life,1946,8.6,"3,55,572"
tt0118799,Life Is Beautiful,1997,8.6,"5,49,956"
tt0245429,Spirited Away,2001,8.5,"5,54,357"
tt0120815,Saving Private Ryan,1998,8.5,"11,04,654"
tt0114814,The Usual Suspects,1995,8.5,"9,03,320"
tt0110413,Léon: The Professional,1994,8.5,"9,20,665"
tt0120689,The Green Mile,1999,8.5,"10,09,642"
tt0816692,Interstellar,2014,8.5,"12,89,680"
tt0054215,Psycho,1960,8.5,"5,35,216"
tt0120586,American History X,1998,8.5,"9,47,553"
tt0021749,City Lights,1931,8.5,"1,46,155"
tt0034583,Casablanca,1942,8.5,"4,74,348"
tt0064116,Once Upon a Time in the West,1968,8.5,"2,70,182"
tt0253474,The Pianist,2002,8.5,"6,39,237"
tt0027977,Modern Times,1936,8.5,"1,89,385"
